pair_id,scenario,user,query_type,polarity,bridge_type,ev_a_session,ev_b_session,status,errors,warnings
AMB_SC_S1_U01,S1,U01,predicted_reaction,reject,state_dependent_operation,6,14,pass,,
AMB_SC_S1_U02,S1,U02,behavior_explanation,conditional,state_dependent_operation,6,14,pass,,
AMB_SC_S1_U03,S1,U03,conditional_recommendation,non_decision,state_dependent_operation,6,14,pass,,
AMB_SC_S1_U04,S1,U04,preference_generalization,accept,state_dependent_operation,6,14,pass,,
AMB_SC_S1_U05,S1,U05,situational_fit,reject,state_dependent_operation,6,14,pass,,
AMB_SC_S1_U06,S1,U06,recommendation_ranking,conditional,state_dependent_operation,6,14,pass,,
AMB_SC_S1_U07,S1,U07,predicted_reaction,accept,state_dependent_operation,6,14,pass,,
AMB_SC_S1_U08,S1,U08,preference_generalization,reject,state_dependent_operation,6,14,pass,,
AMB_SC_S1_U09,S1,U09,situational_fit,non_decision,state_dependent_operation,6,14,pass,,
AMB_SC_S1_U10,S1,U10,recommendation_ranking,accept,state_dependent_operation,6,14,pass,,
AMB_SC_S2_U01,S2,U01,preference_generalization,non_decision,strategy_outcome_contingency,5,13,pass,,
AMB_SC_S2_U02,S2,U02,situational_fit,reject,strategy_outcome_contingency,5,13,pass,,
AMB_SC_S2_U03,S2,U03,recommendation_ranking,accept,strategy_outcome_contingency,5,13,pass,,
AMB_SC_S2_U04,S2,U04,predicted_reaction,conditional,strategy_outcome_contingency,5,13,pass,,
AMB_SC_S2_U05,S2,U05,preference_generalization,reject,strategy_outcome_contingency,5,13,pass,,
AMB_SC_S2_U06,S2,U06,situational_fit,accept,strategy_outcome_contingency,5,13,pass,,
AMB_SC_S2_U07,S2,U07,recommendation_ranking,reject,strategy_outcome_contingency,5,13,pass,,
AMB_SC_S2_U08,S2,U08,predicted_reaction,accept,strategy_outcome_contingency,5,13,pass,,
AMB_SC_S2_U09,S2,U09,behavior_explanation,reject,strategy_outcome_contingency,5,13,pass,,
AMB_SC_S2_U10,S2,U10,conditional_recommendation,accept,strategy_outcome_contingency,5,13,pass,,
AMB_SC_S3_U01,S3,U01,conditional_recommendation,reject,threshold_context_interaction,7,15,pass,,
AMB_SC_S3_U02,S3,U02,behavior_explanation,conditional,threshold_context_interaction,7,15,pass,,
AMB_SC_S3_U03,S3,U03,conditional_recommendation,accept,threshold_context_interaction,7,15,pass,,
AMB_SC_S3_U04,S3,U04,preference_generalization,reject,threshold_context_interaction,7,15,pass,,
AMB_SC_S3_U05,S3,U05,situational_fit,non_decision,threshold_context_interaction,7,15,pass,,
