uid,source,topic,scenario,question_type,requires_inference,inference_depth,num_facts_needed,association_type,memory_horizon,preference_polarity,preference_category,query,gold,inferred_target,evidence,is_answerable,fitness_score,verdict,tier,quality_flags,annotation_rationale,stored_facts,D1,D2,D3,D4,D5,D6,D7
personamem::therapy_persona0_Init_q44,personamem,therapy,associative,recommend,True,1,2,within_domain,short_term,dislike,hobby,"Hey, I'm planning a chill weekend at home and need some game suggestions. What would you recommend to keep things relaxed and enjoyable?","Based on what you've shared with me, I recommend diving into a serene puzzle adventure like 'Monument Valley.' Its stunning design and soothing soundtrack create a peaceful experience where you can navigate through mind-bending architecture without the stress of complex character roles or intricate storylines. It's perfect for a quiet and immersive weekend unwind!","Based on what you've shared with me, I recommend diving into a serene puzzle adventure like 'Monument Valley.' Its stunning design and soothing soundtrack create a peaceful experience where you can na",therapy_persona0_Init_q44,True,91,PASS,Ideal,stereotypical,type=recommendation_aligned_with_users_latest_preferences; D1=32/35 (inference); horizon=short_term.,Dislikes: role-playing games | Event: Kanoa tries out a role-playing game for relaxation but feels it is not his style.,32,15,9,15,10,5,5
personamem::therapy_persona0_Init_q28,personamem,therapy,associative,recall_latest_pref,False,0,1,temporal_update,short_term,like,health,I've been regularly attending a class that explores the mind-body connection and promotes relaxation.,I remember you mentioned your interest in yoga before. It's great that you're continuing to explore activities related to the mind-body connection.,I remember you mentioned your interest in yoga before. It's great that you're continuing to explore activities related to the mind-body connection.,therapy_persona0_Init_q28,True,69,FAIL,Unsuitable,stereotypical,type=recalling_the_latest_user_preferences; D1=10/35 (recall); horizon=short_term.,Likes: yoga | Event: He joins a yoga class to explore the mind-body connection and promote relaxation.,10,15,9,15,10,5,5
personamem::therapy_persona0_Init_q10,personamem,therapy,associative,recall_latest_pref,False,0,1,temporal_update,short_term,like,health,I took a walk outside the other day.,You mentioned before you really enjoy nature walks. It's great that you had the opportunity to go out and experience the fresh air.,You mentioned before you really enjoy nature walks. It's great that you had the opportunity to go out and experience the fresh air.,therapy_persona0_Init_q10,True,69,FAIL,Unsuitable,,type=recalling_the_latest_user_preferences; D1=10/35 (recall); horizon=short_term.,"Likes: nature walks | Event: He goes for a nature walk to practice mindfulness and reduce stress, enjoying the peace of the outdoors.",10,15,9,15,10,5,5
personamem::therapy_persona0_Week_q36,personamem,therapy,associative,recall_fact,False,0,1,none,short_term,dislike,health,How can I better balance my passions with activities aimed at contributing to society?,"It sounds like you've experienced the challenge of balancing your passion for music with activities like community service projects. It’s important to recognize where your true passion lies and prioritize accordingly. One approach could be to find ways to incorporate music into service opportunities, allowing you to give back while still nourishing your creative side. What are some other ways you might integrate these aspects of your life?",It sounds like you've experienced the challenge of balancing your passion for music with activities like community service projects. It’s important to recognize where your true passion lies and priori,therapy_persona0_Week_q36,True,62,FAIL,Unsuitable,,type=recalling_facts_mentioned_by_the_user; D1=3/35 (recall); horizon=short_term.,Dislikes: community service projects | Event: He tries participating in a community service project but feels it detracts from his focus on music and creativity.,3,15,9,15,10,5,5
personamem::therapy_persona0_Year_q43,personamem,therapy,associative,recall_reason,False,1,1,none,long_term,neutral,health,"I've been considering using structured planning techniques in my creative writing sessions, but I'm not sure if it's the right approach for me. What do you think?","It's interesting to hear that you've changed your attitude again. Remembering how guided imagery previously distracted you from your musical ideas, I'm curious to know if this recent shift aligns with or diverges from that experience. Can you share more about what has influenced this new perspective?","It's interesting to hear that you've changed your attitude again. Remembering how guided imagery previously distracted you from your musical ideas, I'm curious to know if this recent shift aligns with",therapy_persona0_Year_q43,True,76,FAIL,Marginal,,type=recalling_the_reasons_behind_previous_updates; D1=16/35 (recall); horizon=long_term.,Event: Kanoa decides to abandon guided imagery and focuses solely on improvisation for performances.,16,10,15,15,10,5,5
personamem::writing_persona0_q9,personamem,writing,associative,discriminate,True,1,2,within_domain,short_term,neutral,writing,Which of the following writing samples best aligns with the writer's persona above?,"Creating music with MIDI files is a lot like cooking with diverse ingredients—only this time, you're blending coconut rhythms with electronic beats! 🎶 MIDI, which stands for Musical Instrument Digital Interface, is a protocol that allows various musical instruments and computers to communicate. Essentially, MIDI files encode musical information in a binary format, making it versatile for composers like us. We can tweak tempo, change instruments, or even transpose entire pieces without re-recording everything. Imagine being able to take a traditional Pacific drum pattern and seamlessly incorporate it into an electronic dance track—talk about cross-cultural innovation! When working with MIDI files, it's helpful to use specific software tools like digital audio workstations (DAWs) that support MIDI functionality. Just load your MIDI file, initialize the player, and you're ready to create magic. However, don't be surprised if debugging MIDI sometimes feels like solving a musical puzzle—it's part of the fun! Ultimately, the goal is to make technology our ally in preserving and celebrating our musical roots. So, let's venture into this soundscape, one byte at a time, and create something uniquely ours. 🌺","Creating music with MIDI files is a lot like cooking with diverse ingredients—only this time, you're blending coconut rhythms with electronic beats! 🎶 MIDI, which stands for Musical Instrument Digital",writing_persona0_q9,True,87,PASS,Good,,type=discriminating_new_writing_samples_aligned_with_users_preferences; D1=33/35 (inference); horizon=short_term.,,33,10,9,15,10,5,5
personamem::writing_persona0_q4,personamem,writing,associative,discriminate,True,1,2,within_domain,short_term,neutral,writing,Which of the following writing samples best aligns with the writer's persona above?,"Kanoa Manu is on a mission to bring the harmonious sounds of his Pacific Islander roots into the digital age. 🌺 With a deep understanding of both traditional music and the complexities of the MIDI protocol, he immerses himself in the art of encoding sequence data. MIDI files, in their binary glory, are his playground, where he translates cultural rhythms into accessible electronic tunes. Debugging these files is sometimes like solving a musical puzzle; just imagine the satisfaction of hitting 'play' and hearing the beats align perfectly! Kanoa loves to break down the seemingly arcane world of MIDI into concise, digestible insights. For him, explaining that ""MIDI files encode musical information in a binary format"" demystifies the process for everyone. It's all about keeping the tone light and friendly—we're all in this sound journey together. To help fellow musicians dive into this fusion of sounds, Kanoa dreams of an app (and who doesn't love a good app?) that seamlessly integrates the traditional with the contemporary. According to the MIDI Association, there’s potential to revolutionize how we blend digital and cultural sounds, and Kanoa is ready to lead the charge. 🎵",Kanoa Manu is on a mission to bring the harmonious sounds of his Pacific Islander roots into the digital age. 🌺 With a deep understanding of both traditional music and the complexities of the MIDI pro,writing_persona0_q4,True,87,PASS,Good,,type=discriminating_new_writing_samples_aligned_with_users_preferences; D1=33/35 (inference); horizon=short_term.,,33,10,9,15,10,5,5
personamem::writing_persona0_q5,personamem,writing,associative,discriminate,True,1,2,within_domain,short_term,neutral,writing,Which of the following writing samples best aligns with the writer's persona above?,"In the world of sound and rhythm, blending tradition with technology isn't just an idea; it's an adventure we embark on together! 🎶 Picture this: MIDI files, the unsung heroes of digital music, take the stage, encoding sequences of notes in their unique binary language. Anyone diving into the MIDI protocol quickly discovers it's like composing with digital Legos, where each piece fits perfectly to create something extraordinary. The beauty of MIDI lies in its simplicity and power, allowing us to transform sequences into symphonies. As we explore the harmonious fusion of traditional Pacific Islander sounds and electronic music, the MIDI toolbox becomes our best friend. Debugging these files can feel like solving a musical puzzle, but that's where the fun is, right? 😄 Just like a software update that breathes new life into our devices, Kanoa's vision is to craft an app enabling musicians to sprinkle the essence of island melodies into contemporary tracks effortlessly. So, as we code and compose, we're not just creating music; we're stitching a rich tapestry of modernity interwoven with cultural heritage, note by note. Let's keep our spirits high and fingers busy on those keyboards, for innovation is always just a MIDI file away!","In the world of sound and rhythm, blending tradition with technology isn't just an idea; it's an adventure we embark on together! 🎶 Picture this: MIDI files, the unsung heroes of digital music, take t",writing_persona0_q5,True,87,PASS,Good,,type=discriminating_new_writing_samples_aligned_with_users_preferences; D1=33/35 (inference); horizon=short_term.,,33,10,9,15,10,5,5
personamem::writing_persona0_q8,personamem,writing,associative,discriminate,True,1,2,within_domain,short_term,neutral,writing,Which of the following writing samples best aligns with the writer's persona above?,"When we dive into the world of MIDI files, it’s a bit like unlocking the digital DNA of music! 🧬🎶 These files encode musical information in a binary format, allowing us to wield technology's power to bring our melodies to life. But wait, what exactly is MIDI? MIDI stands for Musical Instrument Digital Interface, a protocol that enables electronic instruments and computers to communicate. Think of it as a universal language for musical gadgets. With MIDI, we can sequence data to orchestrate complex compositions or just enjoy the harmony of traditional Pacific sounds blending with modern beats. Imagine debugging these musical puzzles—it’s like solving a sonic sudoku! 😉 For those ready to jump in, the steps are straightforward: 1) Load your MIDI file, 2) Initialize the player, and 3) Hit play as your digital symphony unfolds. As much as I love geeking out over this, I always aim to keep our exploration friendly and approachable so everyone can join in the fun. And yes, while some might say that MIDI is a relic of the past, I prefer to see it as a bridge connecting traditional and contemporary musical worlds.","When we dive into the world of MIDI files, it’s a bit like unlocking the digital DNA of music! 🧬🎶 These files encode musical information in a binary format, allowing us to wield technology's power to ",writing_persona0_q8,True,87,PASS,Good,,type=discriminating_new_writing_samples_aligned_with_users_preferences; D1=33/35 (inference); horizon=short_term.,,33,10,9,15,10,5,5
personamem::writing_persona0_q0,personamem,writing,associative,discriminate,True,1,2,within_domain,short_term,neutral,writing,Which of the following writing samples best aligns with the writer's persona above?,"When working with MIDI files, the first thing we need to understand is their role in representing music digitally 🎶. Think of MIDI as the universal language that computers and musical instruments use to communicate. Rather than storing actual sound, MIDI files encode musical information in a binary format, like notes and timings, which then gets played back on compatible devices. This separation of data and sound gives us flexibility, allowing us to swap instruments or modify tracks without losing the groundwork. To begin playing with MIDI, you'd typically follow these steps: 1) Load your MIDI file into a software or hardware sequencer, 2) Configure your output settings (like choosing your virtual instruments), and 3) Initialize the player with `midiPlayer.play(midiFile)`. It’s a simple process, but one where the magic of blending traditional and electronic happens. Now, if you’re anything like me, you’ve probably encountered some bumps along the way—debugging MIDI files can sometimes feel like solving a musical puzzle! But that's part of the fun, right? Embracing these challenges makes us better creators and ensures our app will resonate not just with the latest tech-savvy musicians but also with those wanting to preserve and transform their cultural heritage. According to the MIDI Association, this adaptability is one reason MIDI remains a staple in modern music production. And who knows? Your next tune might just be the perfect fusion of past and future!","When working with MIDI files, the first thing we need to understand is their role in representing music digitally 🎶. Think of MIDI as the universal language that computers and musical instruments use ",writing_persona0_q0,True,87,PASS,Good,,type=discriminating_new_writing_samples_aligned_with_users_preferences; D1=33/35 (inference); horizon=short_term.,,33,10,9,15,10,5,5
