item_id,arm,human_binary_correct,human_target_asserted,human_h_k,human_source_misattribution,judge_agrees,reviewer,notes
AMB_WV_S11_U02,full,1,true,1,false,yes,expand40_atomic_audit,tags=ev_B_not_used
AMB_WV_S11_U02,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=withhold_condition_violated;target_asserted_when_should_withhold;disallowed_evidence_sessions_used;mode_answer_instead_of_withhold
AMB_WV_S11_U02,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=answered_instead_of_withholding;asserted_target_under_withhold_C;used_disallowed_evidence
AMB_WV_S11_U02,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_in_withhold_arm;disallowed_evidence_used;mode_mismatch
AMB_WV_S11_U02,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U02,absence,1,false,0,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=expected_withhold_but_answered;used_evidence_outside_allowed_ids;relied_on_removed_evidence
AMB_WV_S11_U03,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U03,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_under_withhold;disallowed_evidence_used;mode_answer_instead_of_withhold
AMB_WV_S11_U03,b_only,1,false,0,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=disallowed_evidence_used;ev_B_not_cited;withhold_condition_violated
AMB_WV_S11_U03,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=failed_to_withhold;asserted_target_without_grounding;used_disallowed_evidence
AMB_WV_S11_U03,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U03,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S11_U04,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U04,a_only,0,true,0,false,yes,expand40_atomic_audit,tags=target_asserted_under_withhold;evidence_outside_allowed_set;ungrounded_target_assertion
AMB_WV_S11_U04,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_under_withhold_C;failure_to_abstain;insufficient_grounding_for_target
AMB_WV_S11_U04,link_broken,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;disallowed_evidence_use;ungrounded_target_assertion
AMB_WV_S11_U04,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U04,absence,1,false,0,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=evidence_outside_allowed_set
AMB_WV_S11_U05,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U05,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=mode_answer_expected_withhold_C;target_asserted_in_withhold_C;used_evidence_not_in_allowed_evidence_ids;ungrounded_target_assertion
AMB_WV_S11_U05,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_condition;used_disallowed_evidence;wrong_mode
AMB_WV_S11_U05,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_outside_allowed_ids;wrong_mode_answer_instead_of_withhold
AMB_WV_S11_U05,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U05,absence,0,true,0,false,yes,expand40_atomic_audit,tags=answered_when_should_withhold;ungrounded_target_assertion;unsupported_coverage_equivalence
AMB_WV_S11_U07,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U07,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_when_withhold_required;evidence_outside_allowed_set_used;wrong_mode_answer_instead_of_withhold
AMB_WV_S11_U07,b_only,1,false,1,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=failed_to_withhold;mode_mismatch;used_disallowed_evidence
AMB_WV_S11_U07,link_broken,1,false,1,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=answered_instead_of_withholding;used_evidence_outside_allowed_evidence_ids;recommendation_not_grounded_in_allowed_evidence
AMB_WV_S11_U07,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U07,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S11_U08,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U08,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_condition;used_evidence_outside_allowed_set
AMB_WV_S11_U08,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=withhold_violation_target_asserted;disallowed_evidence_used;insufficient_allowed_evidence
AMB_WV_S11_U08,link_broken,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_arm;relied_on_evidence_outside_allowed_ids;failed_to_abstain
AMB_WV_S11_U08,distractor,1,true,1,false,yes,expand40_atomic_audit,tags=ev_A_not_used;cited_sessions_outside_allowed_evidence
AMB_WV_S11_U08,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S11_U09,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U09,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=failed_to_withhold_under_withhold_C;asserted_conditional_participation;used_evidence_outside_allowed_evidence_ids;ungrounded_therapy_condition_not_acknowledged_as_missing
AMB_WV_S11_U09,b_only,0,true,2,false,yes,expand40_atomic_audit,tags=target_asserted_under_withhold_C;disallowed_evidence_used_session_9_ev_A;mode_answer_instead_of_withhold
AMB_WV_S11_U09,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_outside_allowed_ids;answered_instead_of_withholding
AMB_WV_S11_U09,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U09,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S11_U10,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U10,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=withhold_violation_target_asserted;disallowed_evidence_used;target_not_fully_grounded
AMB_WV_S11_U10,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_condition;used_evidence_outside_allowed_ids;failed_to_abstain
AMB_WV_S11_U10,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_in_withhold_condition;disallowed_evidence_used;mode_mismatch_answer_instead_of_withhold
AMB_WV_S11_U10,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S11_U10,absence,1,false,0,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=used_evidence_outside_allowed_ids
AMB_WV_S12_U02,full,0,false,1,false,yes,expand40_atomic_audit,tags=target_not_asserted;ev_A_missing;relied_on_non_target_evidence
AMB_WV_S12_U02,a_only,0,true,0,false,yes,expand40_atomic_audit,tags=withhold_violation_substantive_answer_given;evidence_outside_allowed_ids;ungrounded_target_assertion
AMB_WV_S12_U02,b_only,1,false,1,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=used_evidence_outside_allowed_ids;answered_instead_of_withholding;mode_mismatch
AMB_WV_S12_U02,link_broken,1,false,1,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=mode_mismatch;answered_instead_of_withholding;disallowed_evidence_used;asserts_opposite_arrangement
