pair_id,scenario,uid,role,query,target,full_supports_C,a_only_supports_C,b_only_supports_C,link_broken_supports_C,absence_supports_C,reviewer,notes
AMB_WV_S16_U01,S16,U01,digital forensics shift lead,"Tomorrow's roster lists bridge chair, evidence analyst, and liaison scribe. How should I rank those three assignments for myself?","Rank the evidence-analyst assignment first and the bridge-chair assignment last, with liaison scribe between them.",yes,no,no,no,no,construct_audit_v2,pilot10 PASS
AMB_WV_S16_U02,S16,U02,broadcast transmission coordinator,Management has offered me the opening-news recovery lead. Does that assignment fit?,Reject the opening-news recovery-lead assignment and take responsibility for the pre-show path check instead.,,,,,,,
AMB_WV_S16_U03,S16,U03,medical device vigilance analyst,The liaison asks me to rank the two regulator-call duties. Should initial hazard spokesperson come first?,Do not rank initial hazard spokesperson first; rank overnight evidence synthesis above it.,,,,,,,
AMB_WV_S16_U04,S16,U04,marine weather routing adviser,Dispatch can decide the standing title now or use the next incident as a trial. What should I propose?,Defer the standing designation and take the route-note slot for the one-incident trial.,,,,,,,
AMB_WV_S16_U05,S16,U05,university identity access architect,Registration recovery needs a named owner. Which staffing box fits my history?,Accept the dependency-mapper slot and leave incident command to a separate person.,,,,,,,
AMB_WV_S16_U06,S16,U06,pharmaceutical cold-chain investigator,"Quality has three open slots: urgent hospital chair, afternoon packet review, and morning roster update. How should I rank them for myself?","Rank the afternoon packet review first and the urgent hospital chair last, with the morning roster update between them.",yes,no,no,no,no,construct_audit_v2,pilot10 PASS
AMB_WV_S16_U07,S16,U07,wildlife disease surveillance officer,Under what circumstance should I agree to lead the next dawn collection decision?,Agree only when both the laboratory match report and the sightings map are present before route selection.,,,,,,,
AMB_WV_S16_U08,S16,U08,payment settlement operations strategist,Treasury is staffing sequence controller and release authority separately. Where should I volunteer?,Volunteer for sequence controller and not for release authority.,,,,,,,
AMB_WV_S16_U09,S16,U09,dam safety instrumentation specialist,They ask me to rank remote spillway adviser against field verification for the next alarm. Which belongs lower?,Rank remote spillway adviser lower and choose field verification.,,,,,,,
AMB_WV_S16_U10,S16,U10,railway rolling-stock reliability planner,How should I define my part in the next recovery call?,"Offer the reliability recommendation, but leave withdrawal authorization, including any whole-class action, to the duty controller.",,,,,,,
AMB_WV_S17_U01,S17,U01,grant portfolio coordinator,Should I commit our office to delivering the full coastal learning rollout?,Decline the full rollout commitment and offer the funded discovery phase.,yes,no,no,no,no,construct_audit_v2,pilot10 PASS
AMB_WV_S17_U02,S17,U02,construction procurement adviser,Can I place the full depot roof rebuild order now?,"Proceed with the inspection engagement only, then decide on the rebuild after its report.",,,,,,,
AMB_WV_S17_U03,S17,U03,community archive lead,"May I accept the riverworks collection for a first, limited intake?","Accept a review visit and up to two rights-cleared boxes, with no promise beyond that.",,,,,,,
