selection_id,domain,scenario_id,user_id,automatic_pass,human_valid,human_notes,original_query,generated_query,gold_answer,required_elements,condition_summary
work_u08_S1,work,S1,u08,,,,Manager offered a move onto the platform pod with a mandatory daily dawn check-in — would I thrive there based on what you know about me?,,,[],{}
work_u04_S2,work,S2,u04,,,,"For the learning stipend, should I pick the theory-module track or the live build cohort? A friend says the theory track is amazing.",,,[],{}
work_u01_S3,work,S3,u01,,,,Worth leading the recurring late facilitation block after mid-afternoon? A senior said those blocks are amazing for visibility.,,,[],{}
work_u06_S4,work,S4,u06,,,,Worth enrolling in the vendor's screen-first skills cohort? Marketing says the digital refresh is amazing.,,,[],{}
work_u02_S5,work,S5,u02,,,,Six-week callback roster just landed. Friend keeps saying the crew is amazing — worth joining based on what you know about me?,,,[],{}
work_u10_S6,work,S6,u10,,,,Facilities is hyping a full-day standing onsite workshop next week. Worth signing up?,,,[],{}
work_u03_S7,work,S7,u03,,,,Leadership keeps adding a nine-o'clock Tuesday visibility opener to my calendar. Worth keeping it?,,,[],{}
work_u05_S8,work,S8,u05,,,,Client team wants me to moderate their live panel next Thursday. Worth volunteering?,,,[],{}
work_u07_S9,work,S9,u07,,,,Worth taking a late Sunday return flight to make Monday's board rehearsal?,,,[],{}
work_u09_S10,work,S10,u09,,,,Platform team is hyping a five-day desk-side collaboration sprint signup. Worth joining?,,,[],{}
work_u08_S11,work,S11,u08,,,,Worth accepting consecutive lens-on blocks this week given Thursday's client presentation rehearsal?,,,[],{}
work_u04_S12,work,S12,u04,,,,Thinking of adding the afternoon shared-keyboard block before this week's architecture write-up push — good idea?,,,[],{}
work_u01_S13,work,S13,u01,,,,Training group added midnight skill drills before next week's duty roster — one-off worth testing?,,,[],{}
work_u06_S14,work,S14,u06,,,,Worth trying floor-hopping days before this week's compliance memo deadline?,,,[],{}
work_u02_S15,work,S15,u02,,,,One-off Sunday admin session before next week's personal roadmap week — sensible?,,,[],{}
work_u10_S16,work,S16,u10,,,,Worth trying the standing huddle loop before Thursday's blueprint lock?,,,[],{}
work_u03_S17,work,S17,u03,,,,Bench-adjacent immersion week before Friday's packet filing cutoff — workable?,,,[],{}
work_u05_S18,work,S18,u05,,,,Hall crew added a dusk-to-dawn maker signup — sensible with Thursday's review lock ahead?,,,[],{}
work_u07_S19,work,S19,u07,,,,Leadership wants me on the poster-board run-through for next week's numbers session — good fit?,,,[],{}
work_u09_S20,work,S20,u09,,,,Worth accepting the heavier daily corridor time for the relocated account cadence — based on what you know about me?,,,[],{}
hobby_u02_S1,hobby,S1,u02,,,,Worth joining the ridge trail team signup this month — based on what you know about me?,,,[],{}
hobby_u06_S2,hobby,S2,u06,,,,Worth taking a midweek shore shoot with a borrowed premium body — based on what you know about me?,,,[],{}
hobby_u01_S3,hobby,S3,u01,,,,Neighbor wants a recurring Sunday supper hosted here — worth saying yes?,,,[],{}
hobby_u10_S4,hobby,S4,u10,,,,Worth adding the studio's extra late slot before this week's dawn prep block — sensible?,,,[],{}
hobby_u08_S5,hobby,S5,u08,,,,Friends want a loud party-game night at the apartment — worth hosting?,,,[],{}
hobby_u05_S6,hobby,S6,u05,,,,A coworker says the indoor rowing marathon team signup this month is amazing and wants me on the crew. Should I join — is it worth it?,,,[],{}
hobby_u03_S7,hobby,S7,u03,,,,A nine o'clock percussion-circle signup at my apartment is getting hype. Should I host it?,,,[],{}
hobby_u09_S8,hobby,S8,u09,,,,My neighbor wants me at an all-day Saturday plant fair for the building. Friend said it would be amazing. Should I say yes — is it worth it?,,,[],{}
hobby_u07_S9,hobby,S9,u07,,,,Considering a long wet-bench run Saturday night while I'm hosting overnight guests — sensible timing?,,,[],{}
hobby_u04_S10,hobby,S10,u04,,,,Tuesday night poker signup is getting hype in the group chat. Worth joining?,,,[],{}
hobby_u02_S11,hobby,S11,u02,,,,Worth joining the weekend firing roster this month given my current race-prep rhythm?,,,[],{}
hobby_u06_S12,hobby,S12,u06,,,,Thinking of joining the all-day campaign Saturday before next week's kitchen rhythm — good idea?,,,[],{}
hobby_u01_S13,hobby,S13,u01,,,,Cafe wants me at an afternoon tasting flight before this week's recital prep — workable?,,,[],{}
hobby_u10_S14,hobby,S14,u10,,,,Running-group friends swear by a speed-rep block tomorrow before this week's endurance block — one-off worth testing?,,,[],{}
hobby_u08_S15,hobby,S15,u08,,,,Guild wants me at an indoor casting session midweek during the heat spell — workable with my rail-side plant routine booked?,,,[],{}
hobby_u05_S16,hobby,S16,u05,,,,Worth trying the open-air drawing circle before Thursday's illustration lock?,,,[],{}
hobby_u03_S17,hobby,S17,u03,,,,Hall immersion week before Friday's packet filing cutoff — workable?,,,[],{}
hobby_u09_S18,hobby,S18,u09,,,,Cellar crew added a dusk-to-dawn tasting signup — sensible with Saturday's flow lock ahead?,,,[],{}
hobby_u07_S19,hobby,S19,u07,,,,Gallery wants me on the poster-board run-through for next week's corridor show — good fit?,,,[],{}
hobby_u04_S20,hobby,S20,u04,,,,Worth accepting the heavier venue corridor block this week — based on what you know about me?,,,[],{}
health_u08_S1,health,S1,u08,,,,The gathering starts with an 8am cream-and-soft-cheese tasting before the first working session. Would that be a good way for me to join the group?,,,[],{}
health_u01_S2,health,S2,u01,,,,"It is after five, and the vending machine's only option is the tonic in orange packaging. I need to present research findings at eight tomorrow; would taking one now fit?",,,[],{}
health_u09_S3,health,S3,u09,,,,Friends invited me for the chef's dense-stock ramen after tomorrow's office campus review. Does that dinner work for me?,,,[],{}
health_u02_S4,health,S4,u02,,,,The all-day orientation block runs 8 to 12 with only viennoiserie at entry until the noon gate. Should I depend on that?,,,[],{}
health_u07_S5,health,S5,u07,,,,There is a 9pm chili tasting tonight and I lead a 7:30am video debrief tomorrow. Should I go to the tasting?,,,[],{}
health_u05_S6,health,S6,u05,,,,The cafe across the street is pushing a post-four double espresso. I locked the dawn spin slot tomorrow — should I grab one now?,,,[],{}
health_u06_S7,health,S7,u06,,,,Group meal tomorrow evening starts late with a bean-forward chef's table. I pitch to a client in structured jacket at nine — should I eat the full spread?,,,[],{}
health_u10_S8,health,S8,u10,,,,Someone pinned a hospitality meal right after my panel appointment. Dense post-lunch work blocks follow — should I arrive unfed or hold off?,,,[],{}
health_u04_S9,health,S9,u04,,,,Tonight's industry reception lists complimentary cocktails. I need a stable dawn food-and-supplement sequence tomorrow — should I stay for rounds?,,,[],{}
health_u03_S10,health,S10,u03,,,,Clear skies for the alpine circuit tomorrow. Will my usual sedentary-week staples cover the entire circuit?,,,[],{}
health_u08_S11,health,S11,u08,,,,A teammate keeps nudging me toward the bay swim challenge next weekend — sensible given my current recovery setup?,,,[],{}
health_u01_S12,health,S12,u01,,,,Thinking of adding the refrigerated probiotic to my dawn routine before next week's service block — good idea?,,,[],{}
health_u09_S13,health,S13,u09,,,,Partner picked something from the guest-weekend case for the first seated course — workable given how those nights usually affect my next morning?,,,[],{}
health_u02_S14,health,S14,u02,,,,Running-group friends swear by a powder blend tonight before tomorrow's early reps — one-off worth testing?,,,[],{}
health_u07_S15,health,S15,u07,,,,Guild wants me at a late plated course midweek — okay with the morning panel already on my calendar?,,,[],{}
health_u05_S16,health,S16,u05,,,,Worth trying the cafeteria signup line before Wednesday's corridor check?,,,[],{}
health_u06_S17,health,S17,u06,,,,Hall immersion week before Friday's packet filing cutoff — workable?,,,[],{}
health_u10_S18,health,S18,u10,,,,Caterer added a dusk-to-morning signup before Thursday's lab lock — sensible?,,,[],{}
health_u04_S19,health,S19,u04,,,,Culinary school wants me on the countertop-appliance run-through for next week's evaluation night — good fit?,,,[],{}
health_u03_S20,health,S20,u03,,,,Worth accepting the heavier no-fuel corridor block this week — based on what you know about me?,,,[],{}
social_u08_S1,social,S1,u08,,,,Worth accepting the heavier weekend hosting block — based on what you know about me?,,,[],{}
social_u06_S2,social,S2,u06,,,,Group wants me as the always-on reunion chat lead — sensible?,,,[],{}
social_u03_S3,social,S3,u03,,,,Calendar is filling with midweek catch-ups before Thursday's hard talk — worth stacking them?,,,[],{}
social_u10_S4,social,S4,u10,,,,Host wants me to do a live recognition round at the dinner — good fit?,,,[],{}
social_u04_S5,social,S5,u04,,,,Worth accepting the heavier neighborhood morning block this weekend — based on what you know about me?,,,[],{}
social_u09_S6,social,S6,u09,,,,Friends floated a seated supper that stretches past bedtime tonight — based on what you know about me?,,,[],{}
social_u01_S7,social,S7,u01,,,,Neighbor keeps floating spontaneous evening pop-ins on Tuesdays — keep saying yes?,,,[],{}
social_u07_S8,social,S8,u07,,,,They want me to deliver the on-the-spot goodbye tribute — good fit?,,,[],{}
social_u05_S9,social,S9,u05,,,,Someone asked to stay the night before my Monday coaching slot — based on what you know about me?,,,[],{}
social_u02_S10,social,S10,u02,,,,Thread wants me on a continuous presence roster all week — worth it?,,,[],{}
social_u08_S11,social,S11,u08,,,,Worth stacking more lens-on hangouts before Thursday's in-person reunion?,,,[],{}
social_u06_S12,social,S12,u06,,,,Worth taking a long hallway networking block before Friday's hard talk?,,,[],{}
social_u03_S13,social,S13,u03,,,,Crew added a midnight send-off before Monday's airport favor — sensible?,,,[],{}
social_u10_S14,social,S14,u10,,,,Building asked me to staff a walk-through hosting block midweek — workable with my writing week?,,,[],{}
social_u04_S15,social,S15,u04,,,,Thread wants a Saturday message catch-up blitz before Sunday's family call — workable?,,,[],{}
social_u09_S16,social,S16,u09,,,,Worth trying the standing hang loop before Thursday's friendship check-in lock?,,,[],{}
social_u01_S17,social,S17,u01,,,,Bench-adjacent hang marathon before Friday's packet filing cutoff — workable?,,,[],{}
social_u07_S18,social,S18,u07,,,,Crew added a dusk-to-dawn maker signup — sensible with Thursday's review lock ahead?,,,[],{}
social_u05_S19,social,S19,u05,,,,Circle wants me on the poster-board run-through for next week's farewell briefing — good fit?,,,[],{}
social_u02_S20,social,S20,u02,,,,Worth accepting the heavier daily corridor time for the relocated meetup cadence — based on what you know about me?,,,[],{}
finance_u07_S1,finance,S1,u07,,,,Worth parking spare cash in a speculative tip pool this month — based on what you know about me?,,,[],{}
finance_u02_S2,finance,S2,u02,,,,Chat is hyping a one-week day-trading bootcamp signup — worth joining?,,,[],{}
finance_u10_S3,finance,S3,u10,,,,Someone pitched rolling idle cash into a yield chase this quarter — sensible?,,,[],{}
finance_u08_S4,finance,S4,u08,,,,Desk wants me on a year-end second-account signup blitz — good fit?,,,[],{}
finance_u05_S5,finance,S5,u05,,,,Worth adding the bundled lifestyle membership this week — based on what you know about me?,,,[],{}
finance_u03_S6,finance,S6,u03,,,,Desk pinged me about a hallway raffle stake this afternoon — sensible given my situation?,,,[],{}
finance_u04_S7,finance,S7,u04,,,,Club pinged me about an after-hours remittance into the group pot — should I do it?,,,[],{}
finance_u01_S8,finance,S8,u01,,,,Registry wants me on a split-pay gift plan this week — sensible?,,,[],{}
finance_u06_S9,finance,S9,u06,,,,Colleague floated an after-tax tip-channel signup this cycle — fit for me?,,,[],{}
finance_u09_S10,finance,S10,u09,,,,Pitch came in to park the emergency envelope in a high-APR chase soon — workable?,,,[],{}
finance_u07_S11,finance,S11,u07,,,,Seller is pushing a deluxe class hold funded by a future paycheck — smart?,,,[],{}
finance_u02_S12,finance,S12,u02,,,,Buddy asked me to wire a sizable stake into an off-book opportunity right now — yes?,,,[],{}
finance_u10_S13,finance,S13,u10,,,,Discord floated a one-off coin call signup tonight — sensible?,,,[],{}
finance_u08_S14,finance,S14,u08,,,,Building chat wants me in a condo crowdfund this week — workable with my housing week?,,,[],{}
finance_u05_S15,finance,S15,u05,,,,Thread wants me on a same-sector rebound buy this week — workable?,,,[],{}
finance_u03_S16,finance,S16,u03,,,,Desk pinged me about a points-card signup sprint this afternoon — sensible?,,,[],{}
finance_u04_S17,finance,S17,u04,,,,Colleague floated a premium holiday gift pool this cycle — workable?,,,[],{}
finance_u01_S18,finance,S18,u01,,,,Buddy asked me to park cash in a locked yield circle this week — sensible?,,,[],{}
finance_u06_S19,finance,S19,u06,,,,Colleague floated an annual productivity-suite trial convert this week — fit for me?,,,[],{}
finance_u09_S20,finance,S20,u09,,,,Crew floated a last-minute FX window stop before boarding — workable?,,,[],{}
