pair_id,scenario,user,query_type,polarity,bridge_type,ev_a_session,ev_b_session,status,errors,warnings
AMB_HB_S1_U01,S1,U01,predicted_reaction,reject,state_dependent_operation,6,14,pass,,
AMB_HB_S1_U02,S1,U02,behavior_explanation,conditional,state_dependent_operation,6,14,pass,,
AMB_HB_S1_U03,S1,U03,conditional_recommendation,non_decision,state_dependent_operation,6,14,pass,,
AMB_HB_S1_U04,S1,U04,preference_generalization,accept,state_dependent_operation,6,14,pass,,
AMB_HB_S1_U05,S1,U05,situational_fit,reject,state_dependent_operation,6,14,pass,,
AMB_HB_S1_U06,S1,U06,recommendation_ranking,conditional,state_dependent_operation,6,14,pass,,
AMB_HB_S1_U07,S1,U07,predicted_reaction,accept,state_dependent_operation,6,14,pass,,
AMB_HB_S1_U08,S1,U08,preference_generalization,reject,state_dependent_operation,6,14,pass,,
AMB_HB_S1_U09,S1,U09,situational_fit,non_decision,state_dependent_operation,6,14,pass,,
AMB_HB_S1_U10,S1,U10,recommendation_ranking,accept,state_dependent_operation,6,14,pass,,
AMB_HB_S2_U01,S2,U01,preference_generalization,non_decision,strategy_outcome_contingency,5,13,pass,,
AMB_HB_S2_U02,S2,U02,situational_fit,reject,strategy_outcome_contingency,5,13,pass,,
AMB_HB_S2_U03,S2,U03,recommendation_ranking,accept,strategy_outcome_contingency,5,13,pass,,
AMB_HB_S2_U04,S2,U04,predicted_reaction,conditional,strategy_outcome_contingency,5,13,pass,,
AMB_HB_S2_U05,S2,U05,preference_generalization,reject,strategy_outcome_contingency,5,13,pass,,
AMB_HB_S2_U06,S2,U06,situational_fit,accept,strategy_outcome_contingency,5,13,pass,,
AMB_HB_S2_U07,S2,U07,recommendation_ranking,reject,strategy_outcome_contingency,5,13,pass,,
AMB_HB_S2_U08,S2,U08,predicted_reaction,accept,strategy_outcome_contingency,5,13,pass,,
AMB_HB_S2_U09,S2,U09,behavior_explanation,reject,strategy_outcome_contingency,5,13,pass,,
AMB_HB_S2_U10,S2,U10,conditional_recommendation,accept,strategy_outcome_contingency,5,13,pass,,
AMB_HB_S3_U01,S3,U01,conditional_recommendation,reject,threshold_context_interaction,7,15,pass,,
AMB_HB_S3_U02,S3,U02,behavior_explanation,conditional,threshold_context_interaction,7,15,pass,,
AMB_HB_S3_U03,S3,U03,conditional_recommendation,accept,threshold_context_interaction,7,15,pass,,
AMB_HB_S3_U04,S3,U04,preference_generalization,reject,threshold_context_interaction,7,15,pass,,
AMB_HB_S3_U05,S3,U05,situational_fit,non_decision,threshold_context_interaction,7,15,pass,,
AMB_HB_S3_U06,S3,U06,behavior_explanation,accept,threshold_context_interaction,7,15,pass,,
AMB_HB_S3_U07,S3,U07,conditional_recommendation,reject,threshold_context_interaction,7,15,pass,,
AMB_HB_S3_U08,S3,U08,recommendation_ranking,conditional,threshold_context_interaction,7,15,pass,,
AMB_HB_S3_U09,S3,U09,predicted_reaction,non_decision,threshold_context_interaction,7,15,pass,,
AMB_HB_S3_U10,S3,U10,behavior_explanation,accept,threshold_context_interaction,7,15,pass,,
AMB_HB_S4_U01,S4,U01,recommendation_ranking,conditional,preference_constraint_fit,4,12,pass,,
AMB_HB_S4_U02,S4,U02,predicted_reaction,non_decision,preference_constraint_fit,4,12,pass,,
AMB_HB_S4_U03,S4,U03,behavior_explanation,accept,preference_constraint_fit,4,12,pass,,
AMB_HB_S4_U04,S4,U04,conditional_recommendation,reject,preference_constraint_fit,4,12,pass,,
AMB_HB_S4_U05,S4,U05,preference_generalization,conditional,preference_constraint_fit,4,12,pass,,
AMB_HB_S4_U06,S4,U06,situational_fit,accept,preference_constraint_fit,4,12,pass,,
AMB_HB_S4_U07,S4,U07,recommendation_ranking,reject,preference_constraint_fit,4,12,pass,,
AMB_HB_S4_U08,S4,U08,predicted_reaction,non_decision,preference_constraint_fit,4,12,pass,,
AMB_HB_S4_U09,S4,U09,preference_generalization,accept,preference_constraint_fit,4,12,pass,,
AMB_HB_S4_U10,S4,U10,situational_fit,reject,preference_constraint_fit,4,12,pass,,
AMB_HB_S5_U01,S5,U01,conditional_recommendation,reject,prediction_calibration,6,15,pass,,
AMB_HB_S5_U02,S5,U02,preference_generalization,accept,prediction_calibration,6,15,pass,,
AMB_HB_S5_U03,S5,U03,situational_fit,conditional,prediction_calibration,6,15,pass,,
AMB_HB_S5_U04,S5,U04,recommendation_ranking,reject,prediction_calibration,6,15,pass,,
AMB_HB_S5_U05,S5,U05,predicted_reaction,accept,prediction_calibration,6,15,pass,,
AMB_HB_S5_U06,S5,U06,preference_generalization,reject,prediction_calibration,6,15,pass,,
AMB_HB_S5_U07,S5,U07,situational_fit,accept,prediction_calibration,6,15,pass,,
AMB_HB_S5_U08,S5,U08,recommendation_ranking,reject,prediction_calibration,6,15,pass,,
AMB_HB_S5_U09,S5,U09,predicted_reaction,accept,prediction_calibration,6,15,pass,,
AMB_HB_S5_U10,S5,U10,behavior_explanation,non_decision,prediction_calibration,6,15,pass,,
AMB_HB_S6_U01,S6,U01,behavior_explanation,conditional,state_dependent_operation,5,14,pass,,
AMB_HB_S6_U02,S6,U02,conditional_recommendation,accept,state_dependent_operation,5,14,pass,,
AMB_HB_S6_U03,S6,U03,behavior_explanation,reject,state_dependent_operation,5,14,pass,,
AMB_HB_S6_U04,S6,U04,conditional_recommendation,non_decision,state_dependent_operation,5,14,pass,,
AMB_HB_S6_U05,S6,U05,preference_generalization,accept,state_dependent_operation,5,14,pass,,
