solver,item_id,scenario,a_only,absence,b_only,distractor,full,link_broken,joint_ladder_pass
Vendor2/GPT-5.6-Terra,AMB_WV_S11_U02,S11,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S11_U03,S11,0,1,1,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S11_U04,S11,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S11_U05,S11,0,0,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S11_U07,S11,0,1,1,1,1,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S11_U08,S11,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S11_U09,S11,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S11_U10,S11,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S12_U02,S12,0,1,1,0,0,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S12_U03,S12,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S12_U04,S12,0,1,0,0,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S12_U05,S12,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S12_U07,S12,0,0,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S12_U08,S12,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S12_U09,S12,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S12_U10,S12,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S13_U02,S13,1,1,1,0,0,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S13_U03,S13,0,1,1,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S13_U04,S13,1,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S13_U05,S13,0,1,1,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S13_U07,S13,1,1,0,1,1,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S13_U08,S13,1,1,1,0,0,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S13_U09,S13,1,1,1,1,0,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S13_U10,S13,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S14_U02,S14,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S14_U03,S14,0,0,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S14_U04,S14,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S14_U05,S14,1,1,0,0,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S14_U07,S14,0,0,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S14_U08,S14,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S14_U09,S14,0,1,0,0,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S14_U10,S14,1,1,1,0,0,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S15_U02,S15,1,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S15_U03,S15,0,1,0,1,0,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S15_U04,S15,0,0,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S15_U05,S15,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S15_U07,S15,0,1,0,1,0,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S15_U08,S15,0,1,1,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S15_U09,S15,1,1,1,1,0,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S15_U10,S15,0,1,0,1,1,0,0
