solver,item_id,scenario,a_only,absence,b_only,distractor,full,link_broken,joint_ladder_pass
Vendor2/GPT-5.6-Terra,AMB_WV_S01_U02,S01,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S01_U04,S01,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S01_U06,S01,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S01_U08,S01,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S02_U02,S02,0,0,0,1,1,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S02_U04,S02,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S02_U06,S02,0,0,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S02_U08,S02,1,1,0,1,1,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S03_U02,S03,0,0,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S03_U04,S03,0,0,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S03_U06,S03,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S03_U08,S03,0,0,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S04_U02,S04,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S04_U04,S04,1,1,0,1,1,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S04_U06,S04,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S04_U08,S04,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S05_U02,S05,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S05_U04,S05,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S05_U06,S05,0,0,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S05_U08,S05,1,1,0,1,1,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S06_U02,S06,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S06_U04,S06,1,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S06_U06,S06,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S06_U08,S06,1,0,0,1,1,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S07_U02,S07,1,1,0,1,1,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S07_U04,S07,0,0,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S07_U06,S07,0,1,1,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S07_U08,S07,1,1,0,1,1,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S08_U02,S08,0,0,0,1,1,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S08_U04,S08,1,1,0,1,1,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S08_U06,S08,0,1,0,1,1,1,0
Vendor2/GPT-5.6-Terra,AMB_WV_S08_U08,S08,0,0,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S09_U02,S09,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S09_U04,S09,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S09_U06,S09,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S09_U08,S09,1,1,1,1,1,1,1
Vendor2/GPT-5.6-Terra,AMB_WV_S10_U02,S10,1,1,1,0,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S10_U04,S10,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S10_U06,S10,0,1,0,1,1,0,0
Vendor2/GPT-5.6-Terra,AMB_WV_S10_U08,S10,1,1,1,1,1,1,1
