review_unit,gate,clause,human_pass,reviewer,notes
social_v1_relational,gate_0,behavioral_proxy_boundary,pass,Agent review (user-authorized),"Target is a calibrated user-specific fit-risk proposition, not a clinical or universal claim."
social_v1_relational,gate_0,episode_A_is_insufficient,pass,Agent review (user-authorized),"A provides the exposure/recovery mechanism but no concrete next-day responsibility; it does not support the target proposition alone."
social_v1_relational,gate_0,episode_B_is_insufficient,pass,Agent review (user-authorized),"B provides a specific responsibility but no evidence that the proposed exposure would impair it."
social_v1_relational,gate_0,visible_relational_connector,pass,Agent review (user-authorized),"The proposal, exposure-recovery pattern, and fixed interpersonal responsibility form a visible temporal/causal connector."
social_v1_relational,gate_0,calibrated_latent_C,pass,Agent review (user-authorized),"The target language is 'flagged as a fit risk' rather than a deterministic social or medical prediction."
social_v1_relational,gate_0,natural_retrieval_cue_Q,,Agent review (user-authorized),"FAIL: 'Based only on these records' is benchmark-instruction language, not a natural later user retrieval cue. Rewrite all family queries in natural first-person form."
social_v1_relational,gate_0,full_arm_semantics,pass,Agent review (user-authorized),"FULL keeps A and B attributed to the same target user and requires infer_C."
social_v1_relational,gate_0,a_only_arm_semantics,pass,Agent review (user-authorized),"A-only removes the concrete responsibility and requires withhold_C."
social_v1_relational,gate_0,b_only_arm_semantics,pass,Agent review (user-authorized),"B-only removes the user-specific exposure/recovery mechanism and requires withhold_C."
social_v1_relational,gate_0,link_broken_matched_connector_change,pass,Agent review (user-authorized),"B-prime keeps the target user, timing, and conversational form while replacing the fixed interpersonal responsibility with a movable low-stakes activity."
social_v1_relational,gate_0,no_generic_prior_shortcut,,Agent review (user-authorized),"FAIL: several families (for example late party before airport help or overnight guest before mentoring) invite a generic prior risk judgment. Run and pass query-only zero-evidence screening after rewriting cues."
social_v1_relational,gate_0,no_source_or_format_confound,pass,Agent review (user-authorized),"link_broken is same-user relation replacement; source_swap is a separate named-other-person control and is not used as Delta_assoc."
