review_unit,gate,clause,human_pass,reviewer,notes
work_s1_relational_v1,gate_0,behavioral_proxy_boundary,,,
work_s1_relational_v1,gate_0,episode_A_is_insufficient,,,
work_s1_relational_v1,gate_0,episode_B_is_insufficient,,,
work_s1_relational_v1,gate_0,visible_relational_connector,,,
work_s1_relational_v1,gate_0,calibrated_latent_C,,,
work_s1_relational_v1,gate_0,natural_retrieval_cue_Q,,,
work_s1_relational_v1,gate_0,full_arm_semantics,,,
work_s1_relational_v1,gate_0,a_only_arm_semantics,,,
work_s1_relational_v1,gate_0,b_only_arm_semantics,,,
work_s1_relational_v1,gate_0,link_broken_matched_connector_change,,,
work_s1_relational_v1,gate_0,no_generic_prior_shortcut,,,
work_s1_relational_v1,gate_0,no_source_or_format_confound,,,
